token,wordform,phones,count
τ’ἐν_1,τ’ἐν,t e n,9
τ’ἐνέμοντο_1,τ’ἐνέμοντο,t e n e m o n t o,4
τ’ἐνέμοντ’_1,τ’ἐνέμοντ’,t e n e m o n t,1
τ’ἐνήρατο_1,τ’ἐνήρατο,t e n ɛː r a t o,1
τ’ἐνδυκέως_1,τ’ἐνδυκέως,t e n d y k e ɔː s,1
τ’ἐνθάδε_1,τ’ἐνθάδε,t e n tʰ a d e,1
τ’ἐνθέμεναι_1,τ’ἐνθέμεναι,t e n tʰ e m e n ai,1
τ’ἐννεάχιλοι_1,τ’ἐννεάχιλοι,t e n n e a kʰ iː l oi,2
τ’ἐνοπὴν_1,τ’ἐνοπὴν,t e n o p ɛː n,1
τ’ἐνοπῇ_1,τ’ἐνοπῇ,t e n o p ɛːi,1
τ’ἐνόησεν_1,τ’ἐνόησεν,t e n o ɛː s e n,1
τ’ἐνὶ_1,τ’ἐνὶ,t e n i,4
τ’ἐξ_1,τ’ἐξ,t e k s,1
τ’ἐξάδιόν_1,τ’ἐξάδιόν,t e k s a d i o n,1
τ’ἐξάπτεσθε_1,τ’ἐξάπτεσθε,t e k s a p t e s tʰ e,1
τ’ἐξάρχων_1,τ’ἐξάρχων,t e k s a r kʰ ɔː n,1
τ’ἐξέστρεψε_1,τ’ἐξέστρεψε,t e k s e s t r e p s e,1
τ’ἐξέταμον_1,τ’ἐξέταμον,t e k s e t a m o n,2
τ’ἐξήλασσαν_1,τ’ἐξήλασσαν,t e k s ɛː l a s s a n,1
τ’ἐξεδύοντο_1,τ’ἐξεδύοντο,t e k s e d y o n t o,1
τ’ἐξεκάθαιρον_1,τ’ἐξεκάθαιρον,t e k s e k a tʰ ai r o n,1
τ’ἐξελάσαι_1,τ’ἐξελάσαι,t e k s e l a s ai,1
τ’ἐξενάριξε_1,τ’ἐξενάριξε,t e k s e n a r i k s e,3
τ’ἐπέεσσι_1,τ’ἐπέεσσι,t e p e e s s i,1
τ’ἐπέεσσιν_1,τ’ἐπέεσσιν,t e p e e s s i n,1
τ’ἐπέοικε_1,τ’ἐπέοικε,t e p e oi k e,3
τ’ἐπίκουροι_1,τ’ἐπίκουροι,t e p i k uː r oi,7
τ’ἐπεσσύμενον_1,τ’ἐπεσσύμενον,t e p e s s y m e n o n,1
τ’ἐπεὶ_1,τ’ἐπεὶ,t e p eː,7
τ’ἐπιδευὴς_1,τ’ἐπιδευὴς,t e p i d eu ɛː s,1
τ’ἐπικίδναται_1,τ’ἐπικίδναται,t e p i k i d n aː t ai,2
τ’ἐπικούρων_1,τ’ἐπικούρων,t e p i k uː r ɔː n,2
τ’ἐπιλεύσσει_1,τ’ἐπιλεύσσει,t e p i l eu s s eː,1
τ’ἐπιπείθονται_1,τ’ἐπιπείθονται,t e p i p eː tʰ o n t ai,1
τ’ἐπισκύνιον_1,τ’ἐπισκύνιον,t e p i s k y n i o n,1
τ’ἐπιτετράφαται_1,τ’ἐπιτετράφαται,t e p i t e t r a pʰ a t ai,2
τ’ἐπὶ_1,τ’ἐπὶ,t e p i,9
τ’ἐπ’_1,τ’ἐπ’,t e p,1
τ’ἐρέοντο_1,τ’ἐρέοντο,t e r e o n t o,1
τ’ἐρατεινὴν_1,τ’ἐρατεινὴν,t e r a t eː n ɛː n,1
τ’ἐρεθίζων_1,τ’ἐρεθίζων,t e r e tʰ i z d ɔː n,1
τ’ἐρητύεται_1,τ’ἐρητύεται,t e r ɛː t y e t ai,1
τ’ἐριαύχενας_1,τ’ἐριαύχενας,t e r i au kʰ e n a s,2
τ’ἐριδαίνετον_1,τ’ἐριδαίνετον,t e r i d ai n e t o n,1
τ’ἐριθηλέας_1,τ’ἐριθηλέας,t e r i tʰ ɛː l e a s,1
τ’ἐσθλὸς_1,τ’ἐσθλὸς,t e s tʰ l o s,1
τ’ἐσορῶν_1,τ’ἐσορῶν,t e s o r ɔː n,2
τ’ἐσσυμένην_1,τ’ἐσσυμένην,t e s s y m e n ɛː n,1
τ’ἐσσόμενα_1,τ’ἐσσόμενα,t e s s o m e n a,1
τ’ἐστὶ_1,τ’ἐστὶ,t e s t i,2
τ’ἐσχατόωσαν_1,τ’ἐσχατόωσαν,t e s kʰ a t o ɔː s a n,1
τ’ἐτεωνόν_1,τ’ἐτεωνόν,t e t e ɔː n o n,1
τ’ἐφάμην_1,τ’ἐφάμην,t e pʰ a m ɛː n,2
τ’ἐφέηκε_1,τ’ἐφέηκε,t e pʰ e ɛː k e,1
τ’ἐφεύροι_1,τ’ἐφεύροι,t e pʰ eu r oi,1
τ’ἐφιάλτης_1,τ’ἐφιάλτης,t e pʰ i a l t ɛː s,1
τ’ἐφοπλισόμεσθα_1,τ’ἐφοπλισόμεσθα,t e pʰ o p l i s o m e s tʰ a,2
τ’ἐφόβησε_1,τ’ἐφόβησε,t e pʰ o b ɛː s e,2
τ’ἐφύπερθε_1,τ’ἐφύπερθε,t e pʰ y p e r tʰ e,1
τ’ἐφύρῃ_1,τ’ἐφύρῃ,t e pʰ y r ɛːi,1
τ’ἐφ’_1,τ’ἐφ’,t e pʰ,1
τ’ἐχέμεν_1,τ’ἐχέμεν,t e kʰ e m e n,2
τ’ἐϋκτίμενον_1,τ’ἐϋκτίμενον,t e y k t i m e n o n,1
τ’ἐϋφρήνῃς_1,τ’ἐϋφρήνῃς,t e y pʰ r ɛː n ɛːi s,1
τ’ἐόντα_1,τ’ἐόντα,t e o n t a,2
τ’ἔασκεν_1,τ’ἔασκεν,t e a s k e n,1
τ’ἔβαλλον_1,τ’ἔβαλλον,t e b a l l o n,1
τ’ἔβαλ’_1,τ’ἔβαλ’,t e b a l,2
τ’ἔβη_1,τ’ἔβη,t e b ɛː,1
τ’ἔβλητ’_1,τ’ἔβλητ’,t e b l ɛː t,1
τ’ἔδραμ’_1,τ’ἔδραμ’,t e d r a m,1
τ’ἔθαν’_1,τ’ἔθαν’,t e tʰ a n,1
τ’ἔθηκε_1,τ’ἔθηκε,t e tʰ ɛː k e,1
τ’ἔκλεψε_1,τ’ἔκλεψε,t e k l e p s e,1
τ’ἔκλυες_1,τ’ἔκλυες,t e k l y e s,1
τ’ἔκλυον_1,τ’ἔκλυον,t e k l y o n,2
τ’ἔλαφον_1,τ’ἔλαφον,t e l a pʰ o n,1
τ’ἔληγε_1,τ’ἔληγε,t e l ɛː g e,1
τ’ἔλπεται_1,τ’ἔλπεται,t e l p e t ai,1
τ’ἔλσαι_1,τ’ἔλσαι,t e l s ai,1
τ’ἔμεναι_1,τ’ἔμεναι,t e m e n ai,7
τ’ἔναυλος_1,τ’ἔναυλος,t e n au l o s,1
τ’ἔνδον_1,τ’ἔνδον,t e n d o n,1
τ’ἔνθα_1,τ’ἔνθα,t e n tʰ a,1
τ’ἔντεα_1,τ’ἔντεα,t e n t e a,4
τ’ἔξαιτον_1,τ’ἔξαιτον,t e k s ai t o n,1
τ’ἔξοχος_1,τ’ἔξοχος,t e k s o kʰ o s,1
τ’ἔπιόν_1,τ’ἔπιόν,t e p i o n,1
τ’ἔπλετο_1,τ’ἔπλετο,t e p l e t o,2
τ’ἔρριψε_1,τ’ἔρριψε,t e r r i p s e,1
τ’ἔσαν_1,τ’ἔσαν,t e s a n,1
τ’ἔσεται_1,τ’ἔσεται,t e s e t ai,1
τ’ἔστι_1,τ’ἔστι,t e s t i,1
τ’ἔσχε_1,τ’ἔσχε,t e s kʰ e,2
τ’ἔσχετο_1,τ’ἔσχετο,t e s kʰ e t o,1
τ’ἔτι_1,τ’ἔτι,t e t i,1
τ’ἔτρεσαν_1,τ’ἔτρεσαν,t e t r e s a n,1
τ’ἔφαλον_1,τ’ἔφαλον,t e pʰ a l o n,2
τ’ἔφανεν_1,τ’ἔφανεν,t e pʰ a n e n,2
τ’ἔφατ’_1,τ’ἔφατ’,t e pʰ a t,17
τ’ἔχον_1,τ’ἔχον,t e kʰ o n,3
τ’ἠέλιος_1,τ’ἠέλιος,t ɛː e l i o s,3
τ’ἠέλιόν_1,τ’ἠέλιόν,t ɛː e l i o n,2
τ’ἠΰκομος_1,τ’ἠΰκομος,t ɛː y k o m o z,1
τ’ἠδὲ_1,τ’ἠδὲ,t ɛː d e,6
τ’ἠδ’_1,τ’ἠδ’,t ɛː d,3
τ’ἠελίῳ_1,τ’ἠελίῳ,t ɛː e l i ɔːi,1
τ’ἠλέκτωρ_1,τ’ἠλέκτωρ,t ɛː l e k t ɔː r,2
τ’ἠλίβατοι_1,τ’ἠλίβατοι,t ɛː l i b a t oi,1
τ’ἠλίβατος_1,τ’ἠλίβατος,t ɛː l i b a t o s,1
τ’ἠλακάτην_1,τ’ἠλακάτην,t ɛː l a k a t ɛː n,1
τ’ἠμύει_1,τ’ἠμύει,t ɛː m y eː,1
τ’ἠϊόνας_1,τ’ἠϊόνας,t ɛː i o n a s,1
τ’ἠὲ_1,τ’ἠὲ,t ɛː e,1
τ’ἢ_1,τ’ἢ,t ɛː,1
τ’ἤθεα_1,τ’ἤθεα,t ɛː tʰ e a,2
τ’ἤλυθε_1,τ’ἤλυθε,t ɛː l y tʰ e,1
τ’ἤλυξε_1,τ’ἤλυξε,t ɛː l y k s e,1
τ’ἤπειρον_1,τ’ἤπειρον,t ɛː p eː r o n,1
τ’ἤπια_1,τ’ἤπια,t ɛː p i a,1
τ’ἤϊα_1,τ’ἤϊα,t ɛː iː a,1
τ’ἦλθον_1,τ’ἦλθον,t ɛː l tʰ o n,2
τ’ἦν_1,τ’ἦν,t ɛː n,1
τ’ἰητροὶ_1,τ’ἰητροὶ,t iː ɛː t r oi,1
τ’ἰθύσῃ_1,τ’ἰθύσῃ,t iː tʰ yː s ɛːi,1
τ’ἰσχανάασκον_1,τ’ἰσχανάασκον,t i s kʰ a n a a s k o n,1
τ’ἰυγμῷ_1,τ’ἰυγμῷ,t iː y g m ɔːi,1
τ’ἰῇ_1,τ’ἰῇ,t i ɛːi,1
τ’ἴαχε_1,τ’ἴαχε,t iː a kʰ e,1
τ’ἴμβρον_1,τ’ἴμβρον,t i m b r o n,1
τ’ἴρηξ_1,τ’ἴρηξ,t iː r ɛː k s,1
τ’ἴσαν_1,τ’ἴσαν,t i s a n,1
τ’ἴφθιμα_1,τ’ἴφθιμα,t i pʰ tʰ iː m a,1
τ’ὀαρίζετον_1,τ’ὀαρίζετον,t o a r i z d e t o n,1
τ’ὀβελοῖσιν_1,τ’ὀβελοῖσιν,t o b e l oi s i n,2
τ’ὀλέσας_1,τ’ὀλέσας,t o l e s a s,1
τ’ὀλέσειε_1,τ’ὀλέσειε,t o l e s eː e,1
τ’ὀλίγη_1,τ’ὀλίγη,t o l i g ɛː,1
τ’ὀλίγῳ_1,τ’ὀλίγῳ,t o l i g ɔːi,1
τ’ὀλλυμένους_1,τ’ὀλλυμένους,t o l l y m e n uː s,2
τ’ὀλοοσσόνα_1,τ’ὀλοοσσόνα,t o l o o s s o n a,1
τ’ὀνόμαζε_1,τ’ὀνόμαζε,t o n o m a z d e,12
τ’ὀνόμαζεν_1,τ’ὀνόμαζεν,t o n o m a z d e n,5
τ’ὀνόμηνεν_1,τ’ὀνόμηνεν,t o n o m ɛː n e n,1
τ’ὀπίσσω_1,τ’ὀπίσσω,t o p i s s ɔː,1
τ’ὀπώρης_1,τ’ὀπώρης,t o p ɔː r ɛː s,1
τ’ὀρνίθων_1,τ’ὀρνίθων,t o r n iː tʰ ɔː n,2
τ’ὀρχησταί_1,τ’ὀρχησταί,t o r kʰ ɛː s t ai,1
τ’ὀστέ’_1,τ’ὀστέ’,t o s t e,1
τ’ὀφθαλμοί_1,τ’ὀφθαλμοί,t o pʰ tʰ a l m oi,1
τ’ὀφθαλμώ_1,τ’ὀφθαλμώ,t o pʰ tʰ a l m ɔː,1
τ’ὄζον_1,τ’ὄζον,t o z d o n,2
τ’ὄζος_1,τ’ὄζος,t o z d o s,1
τ’ὄλεκεν_1,τ’ὄλεκεν,t o l e k e n,1
τ’ὄναρ_1,τ’ὄναρ,t o n a r,1
τ’ὄνειαρ_1,τ’ὄνειαρ,t o n eː a r,1
τ’ὄργυι’_1,τ’ὄργυι’,t o r g yi,1
τ’ὄρεος_1,τ’ὄρεος,t o r e o s,3
τ’ὄρος_1,τ’ὄρος,t o r o s,1
τ’ὄτρυνε_1,τ’ὄτρυνε,t o t r yː n e,1
τ’ὄϊες_1,τ’ὄϊες,t o i e s,1
τ’ὠκυπόρων_1,τ’ὠκυπόρων,t ɔː k y p o r ɔː n,1
τ’ὠκύμορος_1,τ’ὠκύμορος,t ɔː k y m o r o s,1
τ’ὠλενίη_1,τ’ὠλενίη,t ɔː l e n i ɛː,1
τ’ὠλενίης_1,τ’ὠλενίης,t ɔː l e n i ɛː s,1
τ’ὠρίωνα_1,τ’ὠρίωνα,t ɔː r iː ɔː n a,1
τ’ὤκιστος_1,τ’ὤκιστος,t ɔː k i s t o s,1
τ’ὤμοιιν_1,τ’ὤμοιιν,t ɔː m oi iː n,1
τ’ὤμω_1,τ’ὤμω,t ɔː m ɔː,2
τ’ὤμων_1,τ’ὤμων,t ɔː m ɔː n,2
τ’ὤρετο_1,τ’ὤρετο,t ɔː r e t o,3
τ’ὦκα_1,τ’ὦκα,t ɔː k a,2
τ’ὦρόν_1,τ’ὦρόν,t ɔː r o n,1
υἱάσι_1,υἱάσι,h yi a s i,3
υἱέ_1,υἱέ,h yi e,3
υἱέα_1,υἱέα,h yi e a,1
υἱέας_1,υἱέας,h yi e a s,7
υἱέες_1,υἱέες,h yi e e s,6
υἱέος_1,υἱέος,h yi e o s,1
υἱέϊ_1,υἱέϊ,h yi e i,5
υἱεῖ_1,υἱεῖ,h yi eː,2
υἱεῖς_1,υἱεῖς,h yi eː s,1
υἱωνοί_1,υἱωνοί,h yi ɔː n oi,1
υἱωνοῖο_1,υἱωνοῖο,h yi ɔː n oi o,1
υἱόν_1,υἱόν,h yi o n,34
υἱός_1,υἱός,h yi o s,41
υἱὲ_1,υἱὲ,h yi e,21
υἱὸν_1,υἱὸν,h yi o n,95
υἱὸς_1,υἱὸς,h yi o s,83
υἱὸς_2,υἱὸς,h yi o z,10
υἱῶν_1,υἱῶν,h yi ɔː n,1
υἷάς_1,υἷάς,h yi a s,1
υἷα_1,υἷα,h yi a,3
υἷας_1,υἷας,h yi a s,29
υἷε_1,υἷε,h yi e,14
υἷες_1,υἷες,h yi e s,39
υἷι_1,υἷι,h yi i,4
υἷος_1,υἷος,h yi o s,10
υἷος_2,υἷος,h yi o z,1
υἷϊ_1,υἷϊ,h yi i,3
υἷ’_1,υἷ’,h yi,1
φάανθεν_1,φάανθεν,pʰ a a n tʰ e n,1
φάγε_1,φάγε,pʰ a g e,2
φάγον_1,φάγον,pʰ a g o n,1
φάγῃσι_1,φάγῃσι,pʰ a g ɛːi s i,1
φάει_1,φάει,pʰ a eː,1
φάθ’_1,φάθ’,pʰ a tʰ,8
φάλαγγα_1,φάλαγγα,pʰ a l a ŋ g a,1
φάλαγγας_1,φάλαγγας,pʰ a l a ŋ g a s,19
φάλαγγες_1,φάλαγγες,pʰ a l a ŋ g e s,12
φάλαγξι_1,φάλαγξι,pʰ a l a ŋ k s i,1
φάλαρ’_1,φάλαρ’,pʰ a l a r,1
φάλκην_1,φάλκην,pʰ a l k ɛː n,2
φάλοισι_1,φάλοισι,pʰ a l oi s i,2
φάλον_1,φάλον,pʰ a l o n,5
φάμεν_1,φάμεν,pʰ a m e n,2
φάμενος_1,φάμενος,pʰ a m e n o s,1
φάνεσκεν_1,φάνεσκεν,pʰ a n e s k e n,1
φάνη_1,φάνη,pʰ a n ɛː,6
φάνηθι_1,φάνηθι,pʰ a n ɛː tʰ i,1
φάντες_1,φάντες,pʰ a n t e s,2
φάος_1,φάος,pʰ a o s,15
φάρεα_1,φάρεα,pʰ aː r e a,1
φάρεϊ_1,φάρεϊ,pʰ aː r e i,1
φάρε’_1,φάρε’,pʰ aː r e,1
φάρμακα_1,φάρμακα,pʰ a r m a k a,6
φάρμακ’_1,φάρμακ’,pʰ a r m a k,2
φάρμαχ’_1,φάρμαχ’,pʰ a r m a kʰ,1
φάσαν_1,φάσαν,pʰ a s a n,2
φάσγανα_1,φάσγανα,pʰ a z g a n a,1
φάσγανον_1,φάσγανον,pʰ a z g a n o n,8
φάσθαι_1,φάσθαι,pʰ a s tʰ ai,5
φάσ’_1,φάσ’,pʰ aː s,1
φάτνῃ_1,φάτνῃ,pʰ a t n ɛːi,5
φάτο_1,φάτο,pʰ a t o,83
φάτ’_1,φάτ’,pʰ a t,9
φέβεσθαι_1,φέβεσθαι,pʰ e b e s tʰ ai,2
φέβοντο_1,φέβοντο,pʰ e b o n t o,6
φέβωμαι_1,φέβωμαι,pʰ e b ɔː m ai,1
φέρε_1,φέρε,pʰ e r e,6
φέρει_1,φέρει,pʰ e r eː,9
φέρειν_1,φέρειν,pʰ e r eː n,9
φέρεις_1,φέρεις,pʰ e r eː s,1
φέρεκλον_1,φέρεκλον,pʰ e r e k l o n,1
φέρεν_1,φέρεν,pʰ e r e n,3
φέρεσθαι_1,φέρεσθαι,pʰ e r e s tʰ ai,6
φέρεται_1,φέρεται,pʰ e r e t ai,1
φέρετ’_1,φέρετ’,pʰ e r e t,1
φέρηται_1,φέρηται,pʰ e r ɛː t ai,1
φέρητον_1,φέρητον,pʰ e r ɛː t o n,1
φέριστε_1,φέριστε,pʰ e r i s t e,3
φέριστοι_1,φέριστοι,pʰ e r i s t oi,1
φέριστον_1,φέριστον,pʰ e r i s t o n,1
φέροι_1,φέροι,pʰ e r oi,8
φέροιεν_1,φέροιεν,pʰ e r oi e n,3
φέροιο_1,φέροιο,pʰ e r oi o,1
φέροις_1,φέροις,pʰ e r oi s,1
φέροιτο_1,φέροιτο,pʰ e r oi t o,3
φέρομεν_1,φέρομεν,pʰ e r o m e n,1
φέρον_1,φέρον,pʰ e r o n,29
φέροντα_1,φέροντα,pʰ e r o n t a,1
φέρονται_1,φέρονται,pʰ e r o n t ai,1
φέροντες_1,φέροντες,pʰ e r o n t e s,8
φέρουσά_1,φέρουσά,pʰ e r uː s a,1
φέρουσα_1,φέρουσα,pʰ e r uː s a,6
φέρουσαι_1,φέρουσαι,pʰ e r uː s ai,3
φέρουσιν_1,φέρουσιν,pʰ e r uː s i n,1
φέρτατον_1,φέρτατον,pʰ e r t a t o n,2
φέρτατος_1,φέρτατος,pʰ e r t a t o s,1
φέρτατός_1,φέρτατός,pʰ e r t a t o s,2
φέρτατ’_1,φέρτατ’,pʰ e r t a t,2
φέρτε_1,φέρτε,pʰ e r t e,1
φέρτεραι_1,φέρτεραι,pʰ e r t e r ai,1
φέρτεροί_1,φέρτεροί,pʰ e r t e r oi,4
φέρτεροι_1,φέρτεροι,pʰ e r t e r oi,2
φέρτερον_1,φέρτερον,pʰ e r t e r o n,1
φέρτερος_1,φέρτερος,pʰ e r t e r o s,7
φέρτερόν_1,φέρτερόν,pʰ e r t e r o n,1
φέρτερός_1,φέρτερός,pʰ e r t e r o s,7
φέρτρῳ_1,φέρτρῳ,pʰ e r t r ɔːi,1
φέρω_1,φέρω,pʰ e r ɔː,2
φέρωμαι_1,φέρωμαι,pʰ e r ɔː m ai,1
φέρων_1,φέρων,pʰ e r ɔː n,23
φέρῃσι_1,φέρῃσι,pʰ e r ɛːi s i,1
φέρ’_1,φέρ’,pʰ e r,1
φήγινος_1,φήγινος,pʰ ɛː g i n o s,1
φήσει_1,φήσει,pʰ ɛː s eː,2
φίλα_1,φίλα,pʰ i l a,16
φίλαι_1,φίλαι,pʰ i l ai,1
φίλας_1,φίλας,pʰ i l aː s,2
φίλατο_1,φίλατο,pʰ iː l a t o,1
φίλε_1,φίλε,pʰ i l e,8
φίλε_2,φίλε,pʰ iː l e,3
φίλεον_1,φίλεον,pʰ i l e o n,1
φίλη_1,φίλη,pʰ i l ɛː,12
φίληθεν_1,φίληθεν,pʰ i l ɛː tʰ e n,1
φίλην_1,φίλην,pʰ i l ɛː n,30
φίλης_1,φίλης,pʰ i l ɛː s,6
φίλης_2,φίλης,pʰ i l ɛː z,1
φίλησα_1,φίλησα,pʰ i l ɛː s a,1
φίλησε_1,φίλησε,pʰ i l ɛː s e,2
φίλοι_1,φίλοι,pʰ i l oi,43
φίλοιο_1,φίλοιο,pʰ i l oi o,4
φίλοις_1,φίλοις,pʰ i l oi s,5
φίλοισι_1,φίλοισι,pʰ i l oi s i,4
φίλοισιν_1,φίλοισιν,pʰ i l oi s i n,3
φίλον_1,φίλον,pʰ i l o n,101
φίλος_1,φίλος,pʰ i l o s,43
φίλος_2,φίλος,pʰ i l o z,10
φίλου_1,φίλου,pʰ i l uː,5
φίλους_1,φίλους,pʰ i l uː s,2
φίλους_2,φίλους,pʰ i l uː z,1
φίλταθ’_1,φίλταθ’,pʰ i l t a tʰ,2
φίλταταί_1,φίλταταί,pʰ i l t a t ai,1
φίλτατε_1,φίλτατε,pʰ i l t a t e,2
φίλτατοί_1,φίλτατοί,pʰ i l t a t oi,1
φίλτατοι_1,φίλτατοι,pʰ i l t a t oi,4
φίλτατον_1,φίλτατον,pʰ i l t a t o n,1
φίλτατος_1,φίλτατος,pʰ i l t a t o s,12
φίλτατόν_1,φίλτατόν,pʰ i l t a t o n,1
φίλτατός_1,φίλτατός,pʰ i l t a t o s,1
φίλτεροι_1,φίλτεροι,pʰ i l t e r oi,1
φίλτερον_1,φίλτερον,pʰ i l t e r o n,3
φίλτερος_1,φίλτερος,pʰ i l t e r o s,1
φίλω_1,φίλω,pʰ i l ɔː,1
φίλων_1,φίλων,pʰ i l ɔː n,12
φίλως_1,φίλως,pʰ i l ɔː s,1
φίλῃ_1,φίλῃ,pʰ i l ɛːi,5
φίλῃσι_1,φίλῃσι,pʰ i l ɛːi s i,2
φίλῃσιν_1,φίλῃσιν,pʰ i l ɛːi s i n,1
φίλῳ_1,φίλῳ,pʰ i l ɔːi,19
φίλ’_1,φίλ’,pʰ i l,1
φαάνθη_1,φαάνθη,pʰ a a n tʰ ɛː,1
φαέθων_1,φαέθων,pʰ a e tʰ ɔː n,1
φαίδιμα_1,φαίδιμα,pʰ ai d i m a,7
φαίδιμος_1,φαίδιμος,pʰ ai d i m o s,39
φαίδιμ’_1,φαίδιμ’,pʰ ai d i m,4
φαίην_1,φαίην,pʰ ai ɛː n,1
φαίης_1,φαίης,pʰ ai ɛː s,5
φαίνεθ’_1,φαίνεθ’,pʰ ai n e tʰ,1
φαίνεσθαι_1,φαίνεσθαι,pʰ ai n e s tʰ ai,1
φαίνεται_1,φαίνεται,pʰ ai n e t ai,2
φαίνετο_1,φαίνετο,pʰ ai n e t o,10
φαίνετ’_1,φαίνετ’,pʰ ai n e t,4
φαίνονται_1,φαίνονται,pʰ ai n o n t ai,1
φαίνοπι_1,φαίνοπι,pʰ ai n o p i,1
φαίνοπος_1,φαίνοπος,pʰ ai n o p o s,2
φαίνων_1,φαίνων,pʰ ai n ɔː n,3
φαεινά_1,φαεινά,pʰ a eː n a,1
φαεινάς_1,φαεινάς,pʰ a eː n a s,1
φαεινή_1,φαεινή,pʰ a eː n ɛː,1
φαεινήν_1,φαεινήν,pʰ a eː n ɛː n,1
φαεινοὺς_1,φαεινοὺς,pʰ a eː n uː s,1
φαεινοῦ_1,φαεινοῦ,pʰ a eː n uː,6
φαεινόν_1,φαεινόν,pʰ a eː n o n,2
φαεινός_1,φαεινός,pʰ a eː n o s,2
φαεινότερον_1,φαεινότερον,pʰ a eː n o t e r o n,1
φαεινώ_1,φαεινώ,pʰ a eː n ɔː,3
φαεινὴ_1,φαεινὴ,pʰ a eː n ɛː,2
φαεινὴν_1,φαεινὴν,pʰ a eː n ɛː n,8
φαεινὸν_1,φαεινὸν,pʰ a eː n o n,2
φαεινὸς_1,φαεινὸς,pʰ a eː n o s,1
φαεινὼ_1,φαεινὼ,pʰ a eː n ɔː,3
φαεινῆς_1,φαεινῆς,pʰ a eː n ɛː s,3
φαεινῇ_1,φαεινῇ,pʰ a eː n ɛːi,1
φαεινῶν_1,φαεινῶν,pʰ a eː n ɔː n,1
φαεινῷ_1,φαεινῷ,pʰ a eː n ɔːi,25
φαεσίμβροτος_1,φαεσίμβροτος,pʰ a e s i m b r o t o s,1
φαιδιμόεντες_1,φαιδιμόεντες,pʰ ai d i m o e n t e s,1
φαινομένη_1,φαινομένη,pʰ ai n o m e n ɛː,2
φαινομένηφι_1,φαινομένηφι,pʰ ai n o m e n ɛː pʰ i,3
φαινομένηφιν_1,φαινομένηφιν,pʰ ai n o m e n ɛː pʰ i n,1
φαινομένων_1,φαινομένων,pʰ ai n o m e n ɔː n,1
φαιστόν_1,φαιστόν,pʰ ai s t o n,1
φαλαγγηδόν_1,φαλαγγηδόν,pʰ a l a ŋ g ɛː d o n,1
φαληριόωντα_1,φαληριόωντα,pʰ a l ɛː r i o ɔː n t a,1
φαμένη_1,φαμένη,pʰ a m e n ɛː,3
φαμεν_1,φαμεν,pʰ a m e n,1
φανέντα_1,φανέντα,pʰ a n e n t a,1
φανήμεναι_1,φανήμεναι,pʰ a n ɛː m e n ai,1
φανήτην_1,φανήτην,pʰ a n ɛː t ɛː n,1
φανήῃ_1,φανήῃ,pʰ a n ɛː ɛːi,3
φανείη_1,φανείη,pʰ a n eː ɛː,1
φανῇ_1,φανῇ,pʰ a n ɛːi,1
φαρέτρην_1,φαρέτρην,pʰ a r e t r ɛː n,2
φαρέτρης_1,φαρέτρης,pʰ a r e t r ɛː s,2
φασγάνου_1,φασγάνου,pʰ a z g a n uː,1
φασγάνῳ_1,φασγάνῳ,pʰ a z g a n ɔːi,5
φασι_1,φασι,pʰ aː s i,6
φασιν_1,φασιν,pʰ aː s i n,2
φασσοφόνῳ_1,φασσοφόνῳ,pʰ a s s o pʰ o n ɔːi,1
φασὶ_1,φασὶ,pʰ aː s i,7
φασὶν_1,φασὶν,pʰ aː s i n,2
φασ’_1,φασ’,pʰ aː s,3
φαυσιάδην_1,φαυσιάδην,pʰ au s i a d ɛː n,1
φαῖμεν_1,φαῖμεν,pʰ ai m e n,2
φαῖν’_1,φαῖν’,pʰ ai n,1
φαῖστον_1,φαῖστον,pʰ ai s t o n,1
φείδας_1,φείδας,pʰ eː d aː s,1
φείδιππός_1,φείδιππός,pʰ eː d i p p o s,1
φείσατ’_1,φείσατ’,pʰ eː s a t,1
φεβώμεθα_1,φεβώμεθα,pʰ e b ɔː m e tʰ a,1
φειδωλή_1,φειδωλή,pʰ eː d ɔː l ɛː,1
φειδόμενος_1,φειδόμενος,pʰ eː d o m e n o z,1
φειδὼ_1,φειδὼ,pʰ eː d ɔː,1
φειᾶς_1,φειᾶς,pʰ eː aː s,1
φενεόν_1,φενεόν,pʰ e n e o n,1
φερέμεν_1,φερέμεν,pʰ e r e m e n,5
φερέσθω_1,φερέσθω,pʰ e r e s tʰ ɔː,2
φερέσθων_1,φερέσθων,pʰ e r e s tʰ ɔː n,1
φερέτην_1,φερέτην,pʰ e r e t ɛː n,2
φερέτω_1,φερέτω,pʰ e r e t ɔː,1
φεροίμην_1,φεροίμην,pʰ e r oi m ɛː n,3
φερτέρη_1,φερτέρη,pʰ e r t e r ɛː,1
φερόμην_1,φερόμην,pʰ e r o m ɛː n,1
φερώμεθα_1,φερώμεθα,pʰ e r ɔː m e tʰ a,1
φερὰς_1,φερὰς,pʰ e r aː s,1
φευγέμεν_1,φευγέμεν,pʰ eu g e m e n,2
φευγέμεναι_1,φευγέμεναι,pʰ eu g e m e n ai,3
φευγόντων_1,φευγόντων,pʰ eu g o n t ɔː n,5
φεύγει_1,φεύγει,pʰ eu g eː,1
φεύγειν_1,φεύγειν,pʰ eu g eː n,4
φεύγεις_1,φεύγεις,pʰ eu g eː z,2
φεύγεσκεν_1,φεύγεσκεν,pʰ eu g e s k e n,1
